Город,Широта,Долгота,Население(тыс),Вес
Муром,55.57, 42.00, 107 ,2596535.25 
Арзамас,55.38, 43.87, 104 ,2596543.75 
Дзержинск,56.27, 43.40, 229 ,2611063.25 
Нижний Новгород,56.30, 44.00, 1252 ,2613153.75 
Ковров,56.37, 41.35, 136 ,2619562.00 
Владимир,56.15, 40.42, 357 ,2620151.00 
Саранск,54.18, 45.17, 321 ,2628994.50 
Рязань,54.60, 39.70, 539 ,2629968.50 
Орехово-Зуево,55.82, 38.98, 118 ,2644575.25 
Иваново,57.02, 40.98, 405 ,2649288.25 
Пенза,53.20, 45.00, 520 ,2653049.00 
Коломна,55.10, 38.77, 140 ,2653916.75 
Тамбов,52.72, 41.42, 292 ,2663298.75 
Чебоксары,56.13, 47.23, 498 ,2666049.75 
Новочебоксарск,56.12, 47.50, 127 ,2672679.75 
Раменское,55.57, 38.23, 122 ,2674194.50 
Жуковский,55.60, 38.12, 108 ,2678664.00 
Кострома,57.77, 40.93, 277 ,2686410.75 
Щёлково,55.93, 38.02, 126 ,2687857.00 
Люберцы,55.67, 37.88, 205 ,2688942.75 
Липецк,52.62, 39.62, 509 ,2689558.00 
Ярославль,57.62, 39.85, 608 ,2692448.50 
Королев,55.90, 37.85, 226 ,2694585.00 
Домодедово,55.44, 37.77, 137 ,2695018.25 
Новомосковск,54.08, 38.25, 122 ,2695339.50 
Зеленодольск,55.83, 48.50, 100 ,2695518.00 
Сергиев Посад,56.32, 38.14, 100 ,2695648.50 
Пушкино,56.01, 37.85, 108 ,2698076.00 
Мытищи,55.92, 37.73, 236 ,2700641.75 
Москва,55.75, 37.62, 12678 ,2701865.25 
Йошкар-Ола,56.63, 47.87, 275 ,2702980.50 
Ульяновск,54.32, 48.37, 628 ,2705393.50 
Подольск,55.42, 37.53, 308 ,2711150.25 
Долгопрудный,55.93, 37.51, 116 ,2717514.25 
Казань,55.78, 49.17, 1257 ,2718265.00 
Тула,54.22, 37.60, 475 ,2722613.00 
Химки,55.88, 37.43, 260 ,2724489.50 
Красногорск,55.82, 37.33, 176 ,2733146.50 
Саратов,51.55, 46.00, 838 ,2736589.75 
Воронеж,51.72, 39.27, 1058 ,2736704.75 
Одинцово,55.68, 37.27, 136 ,2738129.25 
Энгельс,51.50, 46.13, 227 ,2742057.75 
Рыбинск,58.05, 38.83, 185 ,2747032.50 
Димитровград,54.22, 49.63, 113 ,2755774.00 
Тольятти,53.48, 49.52, 699 ,2769804.25 
Вологда,59.23, 39.90, 310 ,2779375.25 
Новокуйбышевск,52.98, 49.68, 100 ,2793580.00 
Камышин,50.08, 45.40, 110 ,2797928.00 
Самара,53.23, 50.17, 1157 ,2807508.00 
Обнинск,55.10, 36.60, 117 ,2812401.25 
Ногинск,57.55, 49.95, 104 ,2824667.00 
Череповец,59.13, 37.92, 315 ,2845733.00 
Нижнекамск,55.63, 51.78, 240 ,2846823.75 
Волжский,48.82, 44.73, 324 ,2851564.50 
Волгоград,48.72, 44.48, 1009 ,2853740.75 
Калуга,54.53, 36.28, 332 ,2856136.00 
Киров,58.60, 49.65, 518 ,2866162.25 
Набережные Челны,55.68, 52.32, 534 ,2875446.50 
Электросталь,54.90, 52.30, 156 ,2879746.75 
Альметьевск,54.90, 52.30, 158 ,2879747.00 
Волгодонск,47.53, 42.20, 171 ,2914958.50 
Шахты,47.70, 40.22, 230 ,2920539.50 
Новошахтинск,47.78, 39.88, 107 ,2921117.25 
